Year,Athlete,Place_no,Time
1984.0,Sylviane Puntous,1.0,10:25:13
1984.0,Eva Ueltzen,0.0,N/A
1984.0,Julie Leach,0.0,N/A
1984.0,Jo Ann Dahlkoetter,0.0,N/A
1984.0,Julie Moss,0.0,N/A
1984.0,Kathleen McCartney,0.0,N/A
1984.0,Sally Edwards,0.0,N/A
1984.0,Lyn Brooks,0.0,N/A
1984.0,Linda Sweeney,0.0,N/A
1984.0,Eve Anderson,0.0,N/A
1984.0,Robin Beck,0.0,N/A
1984.0,Lyn Lemaire,0.0,N/A
1985.0,Anne Haug,0.0,N/A
1985.0,Sarah Crowley,0.0,N/A
1985.0,Lucy Charles,0.0,N/A
1985.0,Heather Jackson,0.0,N/A
1985.0,Daniela Ryf,0.0,N/A
1985.0,Rachel Joyce,0.0,N/A
1985.0,Liz Blatchford,0.0,N/A
1985.0,Leanda Cave,0.0,N/A
1985.0,Caroline Steffen,0.0,N/A
1985.0,Julie Dibens,0.0,N/A
1985.0,Virginia Berasategui,0.0,N/A
1985.0,Mirinda Carfrae,0.0,N/A
1985.0,Yvonne van Vlerken,0.0,N/A
1985.0,Sandra Wallenhorst,0.0,N/A
1985.0,Chrissie Wellington,0.0,N/A
1985.0,Samantha McGlone,0.0,N/A
1985.0,Lisa Bentley,0.0,N/A
1985.0,Desiree Ficker,0.0,N/A
1985.0,Michellie Jones,0.0,N/A
1985.0,Kate Major,0.0,N/A
1985.0,Nina Kraft,0.0,N/A
1985.0,Heather Fuhr,0.0,N/A
1985.0,Lori Bowden,0.0,N/A
1985.0,Natascha Badmann,0.0,N/A
1985.0,Isabelle Mouthon,0.0,N/A
1985.0,Fernanda Keller,0.0,N/A
1985.0,Karen Smyers,0.0,N/A
1985.0,Susan Latshaw,0.0,N/A
1985.0,Julie Anne White,0.0,N/A
1985.0,Thea Sybesma,0.0,N/A
1985.0,Sarah Coope,0.0,N/A
1985.0,Terri Schneider,0.0,N/A
1985.0,Kirsten Hanssen,0.0,N/A
1985.0,Erin Baker,0.0,N/A
1985.0,Joanne Ernst,1.0,10:25:22
1985.0,Paula Newby-Fraser,3.0,10:31:04
1985.0,Elizabeth Bulman,2.0,10:26:55
1985.0,Julie Olson,0.0,N/A
1985.0,Patricia Puntous,0.0,N/A
1985.0,Sylviane Puntous,0.0,N/A
1985.0,Eva Ueltzen,0.0,N/A
1985.0,Julie Leach,0.0,N/A
1985.0,Jo Ann Dahlkoetter,0.0,N/A
1985.0,Julie Moss,0.0,N/A
1985.0,Kathleen McCartney,0.0,N/A
1985.0,Sally Edwards,0.0,N/A
1985.0,Lyn Brooks,0.0,N/A
1985.0,Linda Sweeney,0.0,N/A
1985.0,Eve Anderson,0.0,N/A
1985.0,Robin Beck,0.0,N/A
1985.0,Lyn Lemaire,0.0,N/A
1986.0,Anne Haug,0.0,N/A
1986.0,Sarah Crowley,0.0,N/A
1986.0,Lucy Charles,0.0,N/A
1986.0,Heather Jackson,0.0,N/A
1986.0,Daniela Ryf,0.0,N/A
1986.0,Rachel Joyce,0.0,N/A
1986.0,Liz Blatchford,0.0,N/A
1986.0,Leanda Cave,0.0,N/A
1986.0,Caroline Steffen,0.0,N/A
1986.0,Julie Dibens,0.0,N/A
1986.0,Virginia Berasategui,0.0,N/A
1986.0,Mirinda Carfrae,0.0,N/A
1986.0,Yvonne van Vlerken,0.0,N/A
1986.0,Sandra Wallenhorst,0.0,N/A
1986.0,Chrissie Wellington,0.0,N/A
1986.0,Samantha McGlone,0.0,N/A
1986.0,Lisa Bentley,0.0,N/A
1986.0,Desiree Ficker,0.0,N/A
1986.0,Michellie Jones,0.0,N/A
1986.0,Kate Major,0.0,N/A
1986.0,Nina Kraft,0.0,N/A
1986.0,Heather Fuhr,0.0,N/A
1986.0,Lori Bowden,0.0,N/A
1986.0,Natascha Badmann,0.0,N/A
1986.0,Isabelle Mouthon,0.0,N/A
1986.0,Fernanda Keller,0.0,N/A
1986.0,Karen Smyers,0.0,N/A
1986.0,Susan Latshaw,0.0,N/A
1986.0,Julie Anne White,0.0,N/A
1986.0,Thea Sybesma,0.0,N/A
1986.0,Sarah Coope,0.0,N/A
1986.0,Terri Schneider,0.0,N/A
1986.0,Kirsten Hanssen,0.0,N/A
1986.0,Erin Baker,0.0,N/A
1986.0,Joanne Ernst,3.0,10:00:07
1986.0,Paula Newby-Fraser,1.0,09:49:14
1986.0,Elizabeth Bulman,0.0,N/A
1986.0,Julie Olson,0.0,N/A
1986.0,Patricia Puntous,0.0,N/A
1986.0,Sylviane Puntous,2.0,09:53:13
1986.0,Eva Ueltzen,0.0,N/A
1986.0,Julie Leach,0.0,N/A
1986.0,Jo Ann Dahlkoetter,0.0,N/A
1986.0,Julie Moss,0.0,N/A
1986.0,Kathleen McCartney,0.0,N/A
1986.0,Sally Edwards,0.0,N/A
1986.0,Lyn Brooks,0.0,N/A
1986.0,Linda Sweeney,0.0,N/A
1986.0,Eve Anderson,0.0,N/A
1986.0,Robin Beck,0.0,N/A
1986.0,Lyn Lemaire,0.0,N/A
1987.0,Anne Haug,0.0,N/A
1987.0,Sarah Crowley,0.0,N/A
1987.0,Lucy Charles,0.0,N/A
1987.0,Heather Jackson,0.0,N/A
1987.0,Daniela Ryf,0.0,N/A
1987.0,Rachel Joyce,0.0,N/A
1987.0,Liz Blatchford,0.0,N/A
1987.0,Leanda Cave,0.0,N/A
1987.0,Caroline Steffen,0.0,N/A
1987.0,Julie Dibens,0.0,N/A
1987.0,Virginia Berasategui,0.0,N/A
1987.0,Mirinda Carfrae,0.0,N/A
1987.0,Yvonne van Vlerken,0.0,N/A
1987.0,Sandra Wallenhorst,0.0,N/A
1987.0,Chrissie Wellington,0.0,N/A
1987.0,Samantha McGlone,0.0,N/A
1987.0,Lisa Bentley,0.0,N/A
1987.0,Desiree Ficker,0.0,N/A
1987.0,Michellie Jones,0.0,N/A
1987.0,Kate Major,0.0,N/A
1987.0,Nina Kraft,0.0,N/A
1987.0,Heather Fuhr,0.0,N/A
1987.0,Lori Bowden,0.0,N/A
1987.0,Natascha Badmann,0.0,N/A
1987.0,Isabelle Mouthon,0.0,N/A
1987.0,Fernanda Keller,0.0,N/A
1987.0,Karen Smyers,0.0,N/A
1987.0,Susan Latshaw,0.0,N/A
1987.0,Julie Anne White,0.0,N/A
1987.0,Thea Sybesma,0.0,N/A
1987.0,Sarah Coope,0.0,N/A
1987.0,Terri Schneider,0.0,N/A
1987.0,Kirsten Hanssen,0.0,N/A
1987.0,Erin Baker,1.0,09:35:25
1987.0,Joanne Ernst,0.0,N/A
1987.0,Paula Newby-Fraser,3.0,09:40:37
1987.0,Elizabeth Bulman,0.0,N/A
1987.0,Julie Olson,0.0,N/A
1987.0,Patricia Puntous,0.0,N/A
1987.0,Sylviane Puntous,2.0,09:36:57
1987.0,Eva Ueltzen,0.0,N/A
1987.0,Julie Leach,0.0,N/A
1987.0,Jo Ann Dahlkoetter,0.0,N/A
1987.0,Julie Moss,0.0,N/A
1987.0,Kathleen McCartney,0.0,N/A
1987.0,Sally Edwards,0.0,N/A
1987.0,Lyn Brooks,0.0,N/A
1987.0,Linda Sweeney,0.0,N/A
1987.0,Eve Anderson,0.0,N/A
1987.0,Robin Beck,0.0,N/A
1987.0,Lyn Lemaire,0.0,N/A
1988.0,Anne Haug,0.0,N/A
1988.0,Sarah Crowley,0.0,N/A
1988.0,Lucy Charles,0.0,N/A
1988.0,Heather Jackson,0.0,N/A
1988.0,Daniela Ryf,0.0,N/A
1988.0,Rachel Joyce,0.0,N/A
1988.0,Liz Blatchford,0.0,N/A
1988.0,Leanda Cave,0.0,N/A
1988.0,Caroline Steffen,0.0,N/A
1988.0,Julie Dibens,0.0,N/A
1988.0,Virginia Berasategui,0.0,N/A
1988.0,Mirinda Carfrae,0.0,N/A
1988.0,Yvonne van Vlerken,0.0,N/A
1988.0,Sandra Wallenhorst,0.0,N/A
1988.0,Chrissie Wellington,0.0,N/A
1988.0,Samantha McGlone,0.0,N/A
1988.0,Lisa Bentley,0.0,N/A
1988.0,Desiree Ficker,0.0,N/A
1988.0,Michellie Jones,0.0,N/A
1988.0,Kate Major,0.0,N/A
1988.0,Nina Kraft,0.0,N/A
1988.0,Heather Fuhr,0.0,N/A
1988.0,Lori Bowden,0.0,N/A
1988.0,Natascha Badmann,0.0,N/A
1988.0,Isabelle Mouthon,0.0,N/A
1988.0,Fernanda Keller,0.0,N/A
1988.0,Karen Smyers,0.0,N/A
1988.0,Susan Latshaw,0.0,N/A
1988.0,Julie Anne White,0.0,N/A
1988.0,Thea Sybesma,0.0,N/A
1988.0,Sarah Coope,0.0,N/A
1988.0,Terri Schneider,0.0,N/A
1988.0,Kirsten Hanssen,3.0,09:37:25
1988.0,Erin Baker,2.0,09:12:14
1988.0,Joanne Ernst,0.0,N/A
1988.0,Paula Newby-Fraser,1.0,09:01:01
1988.0,Elizabeth Bulman,0.0,N/A
1988.0,Julie Olson,0.0,N/A
1988.0,Patricia Puntous,0.0,N/A
1988.0,Sylviane Puntous,0.0,N/A
1988.0,Eva Ueltzen,0.0,N/A
1988.0,Julie Leach,0.0,N/A
1988.0,Jo Ann Dahlkoetter,0.0,N/A
1988.0,Julie Moss,0.0,N/A
1988.0,Kathleen McCartney,0.0,N/A
1988.0,Sally Edwards,0.0,N/A
1988.0,Lyn Brooks,0.0,N/A
1988.0,Linda Sweeney,0.0,N/A
1988.0,Eve Anderson,0.0,N/A
1988.0,Robin Beck,0.0,N/A
1988.0,Lyn Lemaire,0.0,N/A
1989.0,Anne Haug,0.0,N/A
1989.0,Sarah Crowley,0.0,N/A
1989.0,Lucy Charles,0.0,N/A
1989.0,Heather Jackson,0.0,N/A
1989.0,Daniela Ryf,0.0,N/A
1989.0,Rachel Joyce,0.0,N/A
1989.0,Liz Blatchford,0.0,N/A
1989.0,Leanda Cave,0.0,N/A
1989.0,Caroline Steffen,0.0,N/A
1989.0,Julie Dibens,0.0,N/A
1989.0,Virginia Berasategui,0.0,N/A
1989.0,Mirinda Carfrae,0.0,N/A
1989.0,Yvonne van Vlerken,0.0,N/A
1989.0,Sandra Wallenhorst,0.0,N/A
1989.0,Chrissie Wellington,0.0,N/A
1989.0,Samantha McGlone,0.0,N/A
1989.0,Lisa Bentley,0.0,N/A
1989.0,Desiree Ficker,0.0,N/A
1989.0,Michellie Jones,0.0,N/A
1989.0,Kate Major,0.0,N/A
1989.0,Nina Kraft,0.0,N/A
1989.0,Heather Fuhr,0.0,N/A
1989.0,Lori Bowden,0.0,N/A
1989.0,Natascha Badmann,0.0,N/A
1989.0,Isabelle Mouthon,0.0,N/A
1989.0,Fernanda Keller,0.0,N/A
1989.0,Karen Smyers,0.0,N/A
1989.0,Susan Latshaw,0.0,N/A
1989.0,Julie Anne White,0.0,N/A
1989.0,Thea Sybesma,0.0,N/A
1989.0,Sarah Coope,0.0,N/A
1989.0,Terri Schneider,0.0,N/A
1989.0,Kirsten Hanssen,3.0,09:24:31
1989.0,Erin Baker,0.0,N/A
1989.0,Joanne Ernst,0.0,N/A
1989.0,Paula Newby-Fraser,1.0,09:00:56
1989.0,Elizabeth Bulman,0.0,N/A
1989.0,Julie Olson,0.0,N/A
1989.0,Patricia Puntous,0.0,N/A
1989.0,Sylviane Puntous,2.0,09:21:55
1989.0,Eva Ueltzen,0.0,N/A
1989.0,Julie Leach,0.0,N/A
1989.0,Jo Ann Dahlkoetter,0.0,N/A
1989.0,Julie Moss,0.0,N/A
1989.0,Kathleen McCartney,0.0,N/A
1989.0,Sally Edwards,0.0,N/A
1989.0,Lyn Brooks,0.0,N/A
1989.0,Linda Sweeney,0.0,N/A
1989.0,Eve Anderson,0.0,N/A
1989.0,Robin Beck,0.0,N/A
1989.0,Lyn Lemaire,0.0,N/A
1990.0,Anne Haug,0.0,N/A
1990.0,Sarah Crowley,0.0,N/A
1990.0,Lucy Charles,0.0,N/A
1990.0,Heather Jackson,0.0,N/A
1990.0,Daniela Ryf,0.0,N/A
1990.0,Rachel Joyce,0.0,N/A
1990.0,Liz Blatchford,0.0,N/A
1990.0,Leanda Cave,0.0,N/A
1990.0,Caroline Steffen,0.0,N/A
